一一	对应	22058
一一	列举	20715
一万	个理由	23176
一万	五千	18868
一万	块钱	12277
一万个	理由	23176
一万个	不愿意	3451
一万元	以上	7141
一万元	以下	5200
一上来	就是	3591
一下	自己	375284
一下	我的	114413
一下	这个	89892
一下下	面的	2507
一下子	变得	31338
一下子	就把	14987
一不	小心	237328
一不	留神	39063
一不做	二不休	7453
一不小心	就会	22230
一不小心	就被	3171
一世	枭雄	20568
一世	情缘	13694
一丝	不苟	85580
一丝	不挂	54133
一丝	一毫	50737
一丝	希望	41702
一丝	微笑	30812
一丝	笑容	28282
一两	个月	43452
一两	个人	17609
一两	分钟	15262
一两	句话	14727
一个个	都是	13134
一个个	鲜活	10113
一个个	美丽	6487
一个人	的时候	174821
一个人	静静	97667
一个人走	下去	5053
一个人走	回家	2947
一个人走	夜路	2572
一个劲	的说	6477
一个劲	地说	4950
一个月	离奇	106650
一个月	时间	33483
一个月内	只能	3346
一个月内	累计	2831
一举	一动	160285
一举	成名	31043
一举	拿下	17867
一举	突破	15956
一举	夺得	15367
一举	成为	15097
一举一动	都会	3592
一举一动	都在	2831
一举一动	都是	2607
一了	百了	17238
一事	无成	73074
一二	年级	20108
一些	事情	272927
一些	东西	266196
一些	问题	245124
一些东西	的时候	2713
一些事情	之后	3767
一些事情	的时候	3532
一些人	认为	10861
一些人	一些	9315
一些问题	进行	2810
一人	一个	36095
一亿元	人民	2851
一亿元	人民币	2832
一代	人的	48410
一代	又一	43405
一代	宗师	36260
一代	互联	33260
一代	互联网	32788
一代	网络	23303
一件	事情	372192
一件	好事	104938
一件	衣服	78582
一件	大事	68676
一件	小事	59600
一件	非常	59019
一件事	就是	85743
一件事情	就是	22064
一件事情	的时候	6384
一份	工作	185328
一份	到我	153228
一份	礼物	47350
一份	低保	44445
一位	朋友	116529
一位	同学	55706
一位	老师	52407
一位	年轻	47230
一体	电脑	84541
一体	变速	34267
一体	成型	23934
一体	变速箱	20667
一体	变速器	12583
一体化	进程	21287
一体化	发展	20690
一体化	技术	16179
一体化	设计	15807
一体化	管理	14846
一体化	摄像	14696
一体机	信息	24069
一体机	维修	22739
一体机	报价	15519
一体机	复合	11721
一体机	频道	11111
一体机	品牌	8542
一倍	以上	21452
一元	二次	12762
一元	硬币	12195
一具	尸体	19714
一再	强调	38270
一出生	就是	3764
一出生	就被	2803
一击	必杀	14179
一刀	文学	12383
一分	一秒	66637
一分	公司	16780
一分耕耘	一分	3929
一分耕耘	一分收获	3800
一分钱	一分	14972
一分钱	都没	8647
一分钱	也没	8308
一分钱	都不	6944
一切	都是	697508
一切	都会	172133
一切	都不	145851
一切	一切	138765
一切	都在	119367
一切事物	都是	3769
一切都	已经	47495
一切都在	改变	3348
一切都在	变化	2964
一切都在	我的	2705
一切都是	那么	79599
一切都是	为了	33379
一切都是	因为	18663
一切都是	自己	14374
一切都是	我的	12157
一切都是	那样	11971
一列	火车	13516
一则	新闻	22687
一则	消息	18520
一到	晚上	20946
一到	两个	14954
一到	星期	13125
一刻	开始	51622
一刻	也不	30479
一副	对联	14777
一副	眼镜	13263
一动	不动	135035
一动	也不	24422
一动	不动地	21144
一匹	黑马	14195
一千	年的	13674
一千万	人在	15816
一千万	美元	2825
一千个	伤心	9750
一千个	哈姆雷特	4104
一千个	理由	3814
一千个	一万	3786
一千个	一万个	3713
一千个	轮回	3248
一千元	以下	4006
一千元	以上	3616
一千多	年前	8228
一千多	年的	7806
一千多	块钱	4201
一半	以上	83727
一半	的时候	32444
一半	左右	24345
一卡通	系统	18537
一卡通	管理	5198
一卡通	管理系统	3872
一卡通	充值	2770
一厅	出租	44497
一厢	情愿	132353
一厢情愿	罢了	3191
一厢情愿	而已	2742
一去	不复	81973
一去	不回	16259
一双	眼睛	64720
一双	翅膀	30140
一双	鞋子	13573
一双	慧眼	12345
一双双	眼睛	3012
一发	不可	66402
一发	不可收拾	60019
一发不可	收拾	60019
一口	一口	30973
一口	鲜血	27726
一口	流利	27613
一口	凉气	27124
一口	冷气	24511
一口	咬定	21858
一口价	信息	5339
一口气	看完	14727
一口气	读完	12088
一句	话都	66895
一句	话说	37901
一句	话来	36439
一句话	影评	414205
一句话	就是	58907
一句话	点评	53421
一只	眼睛	39926
一只	股票	32054
一只小	小鸟	13098
一只小	老鼠	4902
一只小	白兔	4183
一只小	兔子	3752
一只小	老虎	2970
一只小	蜜蜂	2914
一只手	拿着	5693
一只手	抓住	4297
一只手	轻轻	4126
一只手	放在	3872
一只脚	已经	3501
一台	电脑	100762
一台	机器	29469
一台	笔记	24368
一台	笔记本	24038
一台	计算机	22272
一台	电视	16062
一叶	扁舟	18094
一号	文件	34592
一号	卫星	13933
一同	前往	25149
一同	分享	20883
一同	购买	19035
一名	男子	65712
一名	普通	55499
一名	学生	53422
一名	优秀	48040
一名	合格	31406
一名	女子	28743
一向	都是	22062
一向	喜欢	13226
一听	这话	19570
一听	音乐	17978
一周	走势	88905
一周	新闻	36773
一周	时间	30514
一周	热点	28105
一周	热门	26747
一周年	纪念	26460
一周年	之际	13755
一周年	纪念日	10074
一周年	活动	7871
一周年	庆典	5911
一周年	周笔畅	2720
一味	追求	21817
一命	呜呼	15710
一和	第二	13089
一品	小说	108824
一品夫人	成长	2969
一回到	家里	2650
一团	乱麻	12725
一圈	一圈	26472
一圈	又一	18365
一地	鸡毛	13929
一场	比赛	178630
一场	游戏	64660
一场	战争	41308
一场梦	而已	3711
一场梦	一样	3281
一块	石头	67521
一块	一块	19873
一块	巨大	17304
一堆	东西	12170
一声	叹息	68827
一声	巨响	48126
一声	惨叫	30852
一声	尖叫	21503
一处	地方	12160
一夜	之间	159513
一夜	暴富	43038
一夜	成名	39394
一夜	没睡	19027
一夜	情人	15917
一夜之间	成为	5321
一夜之间	变成	4384
一夜之间	成了	3069
一夜情	机率	5464
一夜情	激情	3065
一大	股东	79873
一大	亮点	58276
一大	特色	47038
一大	部分	25205
一大	特点	24462
一大堆	东西	12588
一大堆	问题	4544
一大堆	事情	3953
一大堆	理由	3570
一大堆	零食	3371
一大堆	废话	3323
一大批	优秀	12348
一大批	具有	5273
一大批	专业	3138
一大批	国内	3060
一大批	先进	3009
一大批	高素质	2950
一大早	起来	16863
一大早	起床	6153
一大早	就去	5786
一大早	就起来	5426
一大早	就被	5401
一大早	我就	5355
一大片	一大片	7178
一天	一天	139427
一天	到晚	137915
一天一天	过去	5908
一天一天	长大	2667
一天到晚	游泳	7758
一天到晚	都在	4320
一天天	长大	25147
一天天	过去	17832
一天天	过去了	4256
一天天	临近	4073
一夫	一妻	26942
一夫	一妻制	14932
一夫	当关	13744
一夫当关	万夫	2690
一头	雾水	82130
一头	扎进	29935
一头	长发	14127
一头	乌黑	13997
一套	房子	74057
一套	完整	44391
一套	衣服	18863
一套	住房	17034
一套	完善	15642
一套	自己	15484
一女	自拍	12989
一如	既往	376223
一如	往常	17246
一如既往	的爱	4281
一如既往	支持	3410
一如既往	的好	2757
一字	一句	51949
一字	排开	27922
一字	一顿	19380
一字	之差	13909
一季度	报告	61496
一季度	业绩	29777
一季度	经济	16887
一季度	净利润	13792
一季度	中国	13749
一季度	增长	12048
一学	就会	14515
一学期	期末	9233
一学期	期中	5751
一学期	期末考试	3228
一学期	期中考试	2822
一学期	高三	2662
一学期	工作	2576
一定	程度	541566
一定	不会	205432
一定会	好好	39062
一定是	一个	23018
一定有	什么	13557
一定有	很多	12641
一定有	一个	10374
一定有	办法	6211
一定程度	上也	12307
一定程度	上的	8616
一定程度	的时候	6209
一定程度	上有	3980
一定能	找到	16595
一定能	成功	12455
一定能	得到	9687
一定能	做到	9612
一定能	成为	8371
一定能	实现	6957
一定要	好好	126382
一定要	注意	116779
一定要	爱你	71101
一定要把	自己	7086
一定要把	这个	4430
一定要看	清楚	4581
一审	判决	70510
一审	宣判	41194
一审	被判	36520
一审	法院	22430
一审	判处	12043
一室	一厅	197395
一室	房源	37851
一室一厅	出租	7611
一室一厅	住房	2754
一家	专业	584439
一家	专业从事	197052
一家	公司	157353
一家	三口	136967
一家	专业生产	102493
一家	大型	88950
一家人	在一	10098
一家人	在一起	9788
一家人	一起	6902
一家子	公司	3061
一寸	照片	21932
一寸	肌肤	16104
一寸	土地	15372
